StackID,badge_score
114584,91
115102,145
115603,2
115635,30
102542,40
115936,10
107289,126
101203,55
103618,14
115655,21
24464,2
73509,62
116183,22
102616,68
116343,5
110379,33
116443,38
28066,6
116273,143
21698,329
116899,109
116892,72
117006,12
117024,17
93212,139
117074,3
108354,42
117218,7
110175,7
117402,34
115986,100
117446,4
117525,53
117539,87
117603,233
117710,50
117554,189
117026,4
117502,64
91029,23
118032,31
86634,67
117975,106
118275,34
117628,21
68873,17
118495,246
118606,48
118609,4
88696,124
115890,187
118861,46
118029,78
77139,27
118939,63
113413,19
118296,13
118960,27
78869,10
114852,3
103909,50
119177,6
119378,26
112614,122
119321,12
10154,19
119390,28
118843,61
115276,14
56545,13
65737,3
60502,36
119669,134
119796,7
119967,29
120044,60
120235,8
116900,28
120433,4
120509,15
120668,5
35499,36
21412,4
81402,19
120779,57
113498,65
120202,27
121185,40
120917,177
120277,1
116169,303
7764,33
120808,310
121576,15
10515,19
121487,59
120974,9
121713,41
41910,35
121858,90
120234,91
116316,47
122164,225
92414,214
122222,13
89183,19
122279,5
122423,52
80849,49
121660,235
122536,806
122531,10
122204,5
122573,28
77608,37
91137,4
107277,462
119182,26
122711,15
123108,136
123204,187
122835,294
122868,117
120138,83
123395,64
111517,6
122909,25
121089,14
123558,87
123632,213
98378,69
108069,35
123695,203
123743,55
98831,11
92666,10
124033,19
124040,7
79371,5
95901,38
91365,110
107073,68
119622,126
124341,5
124414,95
93270,95
124486,458
121687,192
100806,9
124537,25
124581,19
123674,12
124039,40
124759,38
124453,47
124802,83
124824,41
111026,12
112859,14
124775,12
122557,36
124515,56
97831,116
122022,42
125663,111
121944,15
125743,10
122444,29
2075,63
124508,37
125924,32
102436,8
120028,10
126057,12
126068,33
125927,25
123927,461
125507,301
125884,25
109104,135
64635,73
126329,126
126346,42
124303,51
125433,33
126434,12
31407,38
126953,24
123787,14
126998,146
127257,677
121019,7
126597,97
127511,242
68687,12
127629,62
89373,101
127793,7
33997,36
106586,24
89761,471
1528,21
97450,30
41071,857
68165,7
128035,158
128176,28
35069,37
6073,44
128317,49
127763,3
46548,67
106040,4
128319,27
54887,9
128595,184
128583,96
90428,29
128579,65
128948,129
128991,161
128977,141
106342,141
118264,45
126482,13
129367,7
114198,13
129541,44
111874,70
129721,5
115462,73
119357,10
129912,59
103059,77
71051,47
130155,121
83309,47
130168,99
130515,247
130556,195
130687,19
130778,3
130901,20
121037,21
131023,43
131066,47
128546,67
131105,29
131267,5
130095,24
131482,89
131583,46
131152,18
131540,18
131875,17
27955,34
131951,9
131896,10
101951,20
109823,32
118470,1
115303,29
132204,9
132260,30
132317,11
132444,31
27938,113
132467,46
132475,7
123486,20
43955,37
129230,6
130169,39
115091,38
43381,6
133052,2
133106,74
89112,98
126531,111
133160,15
132978,133
106063,29
76813,76
100614,9
133263,2
133424,8
125945,49
88709,129
133244,43
125407,319
133701,100
125814,16
130832,66
133974,43
133973,118
113887,23
130533,25
134020,44
71495,8
134348,33
109458,90
122358,78
89580,2
50260,48
113225,95
134544,7
102960,103
132035,5
134786,15
6811,33
135059,40
123671,691
135254,23
135282,12
123471,258
134642,11
135043,44
132396,137
93252,218
135692,124
44198,39
120855,32
113834,159
135786,782
135837,32
135410,17
127400,43
49443,62
106658,250
128351,52
135968,57
136023,2
136168,85
106755,14
135010,25
135722,102
136345,17
136254,13
96664,16
136758,11
86684,73
88358,97
136327,6
132087,112
137340,7
131881,121
86932,49
134441,13
56449,207
90611,9
137599,37
137613,5
137450,9
137744,31
137794,142
137935,6
23763,18
138016,26
138122,75
132053,50
136763,19
87355,45
123862,83
2873,10
52209,24
87845,13
82966,15
138475,1756
138584,88
104894,134
89443,29
85125,110
138849,17
138881,43
119109,49
134448,21
133235,55
135133,159
139150,592
139187,2
139002,6
101940,47
137871,37
108031,4
42959,19
92148,67
139010,1662
139591,10
27986,61
138939,105
139547,63
139838,28
139802,189
140038,7
126689,9
140110,45
140227,26
110979,57
140328,117
105741,92
140561,5
140693,78
131931,1
140396,15
140901,100
140932,17
140953,30
140999,28
141042,75
81657,5
110315,82
45712,33
141190,4
140937,675
125816,785
141128,8
48001,6
141288,3
140927,39
139951,20
139333,23
129474,101
141451,16
141615,56
117028,60
52936,8
141552,110
141956,11
117268,121
139063,76
142067,36
142151,8
142176,11
66685,5
131441,137
142293,26
116186,107
142458,32
142463,122
141140,14
140204,35
125305,4
142848,73
131320,96
140332,10
109026,108
142928,63
80678,13
128569,23
143141,21
143151,43
75284,46
113808,14
143319,152
143447,46
143480,28
96030,32
143542,188
143466,24
143511,105
142802,31
133309,47
143175,7
143747,32
143305,1416
143509,23
143911,66
144082,10
76427,61
130024,246
139450,7
95048,104
144594,2
110300,74
144695,909
43356,30
113344,40
144981,1
114386,135
144965,6
145077,305
144642,77
145080,91
145079,18
145189,6
132047,574
143273,287
144170,85
145373,28
135559,15
145400,180
145435,259
144098,32
145492,8
76235,59
145525,60
145404,30
145645,149
145748,41
145307,86
145809,80
129592,46
145756,38
144699,51
145928,18
122350,7
146099,86
145567,305
145495,5
146400,113
29851,20
117691,186
146716,54
137869,29
146817,3
142575,38
145396,3
146737,199
60698,54
142965,14
91144,75
121199,34
147143,49
127451,16
146620,50
147380,39
147378,40
105492,70
147792,58
147715,19
147845,124
141147,32
117261,42
148072,120
148213,51
122587,2
148384,8
90161,18
148423,394
103289,1
148466,68
148473,247
148282,2
148536,17
148464,4
128619,15
148606,13
119592,206
148678,22
97394,9
148726,11
148722,127
136446,29
148630,5
91358,63
70984,37
93555,24
149104,4
149128,33
127163,30
149156,42
108938,7
145844,57
149264,68
89949,28
149341,460
66601,69
149416,59
81264,21
129801,36
144263,4
147277,2
149795,12
149530,216
81178,2
113643,90
132510,22
105293,34
150483,44
139544,35
150552,34
150340,68
150531,10
144806,13
144784,2
149060,102
150710,13
147190,14
104887,163
57868,73
144601,43
106653,35
151007,55
150920,42
147453,106
151321,1
100374,25
147154,8
151445,153
151471,117
102635,385
124946,293
149223,41
143269,162
151913,14
148337,19
151641,244
111948,48
126128,81
117579,101
151577,55
152246,37
152147,31
152526,48
152621,90
152646,51
152729,8
152796,62
150762,37
108857,139
104891,1668
111426,101
75799,299
102799,2
72653,6
153399,152
153424,46
113359,36
153439,73
151299,106
151048,159
153574,71
61496,4
149741,87
153872,39
153572,28
117065,26
73986,81
153886,76
153718,179
154279,15
129895,125
3439,28
109524,8
136375,27
154570,9
139092,33
154594,24
149230,55
138443,8
43400,20
154975,97
125773,16
155227,40
140134,9
153092,156
155280,62
155299,152
151652,61
155417,31
152953,2
155715,62
152948,489
155726,191
155222,75
155120,14
97423,7
79061,258
155975,27
111220,24
130652,271
156134,9
156146,7
114253,30
156224,20
132987,33
154274,17
130347,94
125351,113
11490,6
122493,25
156575,30
156561,134
149615,133
152060,64
90195,14
153040,189
156746,72
146015,12
