so_user_id,gh_user_id
470555,286071
592124,181009
14895,106378
553157,318342
461338,341464
111077,194100
242786,98122
1032991,241720
1030636,241720
1328959,204986
184949,76440
190913,76440
885524,50505
512018,177353
100822,378919
399,24797
867489,407334
1337098,122966
461937,19161
613425,29651
246403,47674
1353792,47783
3381,170710
699551,240858
563414,225084
456536,50334
687098,108020
1355883,293839
1166456,73087
1446354,87366
1496777,258955
103289,97594
1109663,286517
173766,17688
189501,158738
1071313,76420
781020,446587
154750,19207
1523628,18982
1448873,275332
303083,169942
1543498,74035
6430,138138
635982,292315
572908,13618
798533,33863
1029236,94219
1344011,215010
876812,339711
590379,34947
763275,161110
685503,162654
980319,71662
725125,79088
676086,382885
734657,84819
64245,203816
647562,204625
448580,60032
214197,65318
159129,160688
818667,190261
208319,34867
1204218,112623
1462833,311108
917169,507636
1178801,435923
641288,166798
505206,176336
140134,69926
90800,58023
1171140,9464
586022,72823
685047,108825
74366,15
86,196458
771378,204114
1539326,83165
728182,261555
494247,6009
661685,81712
1116753,385864
689964,485753
1271980,258225
727337,365717
887495,365717
378138,171120
114359,67212
1145694,210384
1934,240160
139019,176506
615412,171744
290093,241117
1457843,5275
836347,128195
1451384,346794
778106,346794
147562,169242
61838,15668
1138508,328325
1031702,375310
854577,340066
878555,57356
192548,183745
587406,16050
796954,277310
339505,212588
984020,505185
900635,294939
978106,64916
480031,129747
1073696,372400
435017,5770
1268337,67250
1200170,237460
387741,484618
323411,484618
935207,109731
10275,13958
873171,346273
959406,346273
1120652,346273
630837,222085
1207554,222085
164439,107288
1557287,371003
1503777,100499
380403,113695
1194143,197271
345278,383904
31455,5846
415755,371737
49554,67560
223892,159502
603129,221089
173062,89570
1319641,383654
958777,37392
974388,61077
63759,419646
967665,227375
1012884,483390
359721,48191
1251309,373499
527212,324509
589985,218604
526501,309854
233096,25108
250819,4823
1034903,291111
572292,345016
300976,217091
624075,347708
758728,238013
1280515,131762
1031676,187121
1138457,467087
1433510,229443
204904,66599
78804,13846
619891,49116
1232782,102355
1269858,133000
407260,141916
3244,359965
10771,104062
1263781,316054
92714,201613
76430,194910
1304775,69308
368481,365041
506638,82491
354138,234334
489287,125269
20816,8297
634164,294183
565695,361529
5716,20750
784899,343610
208271,35379
198820,228719
473479,86108
1299422,96100
836246,194846
413785,452907
469716,505079
166053,142906
144799,180164
563930,51152
527763,19637
468472,182652
1074074,101362
591211,188748
232159,82125
1312553,129332
13054,137541
1499696,155302
1174018,105425
471880,144386
1562434,130687
1246526,400003
652742,205950
1474913,325465
493128,485338
861184,152937
1023497,212718
781341,254907
567941,341636
579908,341636
1149448,491045
243694,290472
1108096,97112
1399103,382429
277375,334197
1019358,93954
1223242,267190
124983,311641
177284,180895
1102415,200761
15929,505139
194135,154265
539258,93597
951827,146835
716390,144325
1057411,253561
1032260,445642
1538345,393208
396911,205322
861137,203903
203855,134775
155417,217848
265276,34233
681275,63738
26149,285485
442567,29254
287502,122526
311549,122526
315828,122526
1540125,492958
524898,492958
1320319,9641
885703,228754
195902,228754
642051,450407
